UniProtKB-AC,PROSITE_PROFILE_Ndomains,PROSITE_PROFILE_domains,Gene3D_Ndomains,Gene3D_domains,PANTHER_Ndomains,PANTHER_domains,Pfam_Ndomains,Pfam_domains,SUPERFAMILY_Ndomains,SUPERFAMILY_domains,PROSITE_PATTERN_Ndomains,PROSITE_PATTERN_domains,SMART_Ndomains,SMART_domains,TIGRFAM_Ndomains,TIGRFAM_domains
P05755,,,1.0,{'1': '106-163'},1.0,{'1': '11-179'},2.0,"{'1': '8-106', '2': '107-150'}",,,1.0,{'1': '105-129'},2.0,"{'1': '6-106', '2': '107-171'}",1.0,{'1': '4-164'}
P05756,,,,,1.0,{'1': '1-150'},2.0,"{'1': '74-146', '2': '1-60'}",1.0,{'1': '66-142'},1.0,{'1': '98-128'},2.0,"{'1': '70-149', '2': '1-60'}",,
P05986,,,,,,,1.0,{'1': '88-342'},1.0,{'1': '72-369'},4.0,"{'1': '88-342', '2': '343-398', '3': '207-219', '4': '94-126'}",1.0,{'1': '88-342'},,
P06100,,,1.0,{'1': '1-191'},1.0,{'1': '3-189'},1.0,{'1': '55-189'},,,,,,,,
P06101,,,1.0,{'1': '232-365'},1.0,{'1': '1-474'},3.0,"{'1': '3-126', '2': '389-478', '3': '240-364'}",,,,,3.0,"{'1': '2-183', '2': '388-491', '3': '186-371'}",,
P06102,,,1.0,{'1': '635-785'},1.0,{'1': '33-785'},2.0,"{'1': '3-233', '2': '691-784'}",,,,,,,,
P06103,,,2.0,"{'1': '72-170', '2': '458-669'}",1.0,{'1': '43-762'},2.0,"{'1': '96-150', '2': '433-650'}",1.0,{'1': '98-150'},1.0,{'1': '77-162'},1.0,{'1': '78-158'},,
P06104,,,1.0,{'1': '5-165'},1.0,{'1': '3-150'},1.0,{'1': '8-144'},1.0,{'1': '1-151'},2.0,"{'1': '4-150', '2': '77-92'}",,,,
P06105,,,7.0,"{'1': '172-265', '2': '630-710', '3': '711-785', '4': '786-858', '5': '859-937', '6': '938-1012', '7': '1160-1222'}",,,9.0,"{'1': '181-250', '2': '637-702', '3': '714-772', '4': '786-852', '5': '863-930', '6': '941-1002', '7': '1166-1217', '8': '392-477', '9': '130-177'}",6.0,"{'1': '171-267', '2': '628-706', '3': '713-790', '4': '787-892', '5': '932-1007', '6': '1161-1220'}",,,7.0,"{'1': '176-254', '2': '633-707', '3': '711-776', '4': '781-856', '5': '860-934', '6': '938-1006', '7': '1139-1221'}",,
P06115,6.0,"{'1': '30-53', '2': '93-111', '3': '114-131', '4': '133-151', '5': '301-328', '6': '334-360'}",,,1.0,{'1': '4-541'},2.0,"{'1': '481-539', '2': '18-417'}",1.0,{'1': '9-556'},3.0,"{'1': '347-355', '2': '12-546', '3': '53-69'}",1.0,{'1': '16-422'},,
P06168,,,3.0,"{'1': '242-271', '2': '272-336', '3': '337-395'}",1.0,{'1': '47-390'},2.0,"{'1': '248-392', '2': '75-240'}",2.0,"{'1': '248-394', '2': '46-245'}",2.0,"{'1': '247-394', '2': '57-246'}",,,1.0,{'1': '75-394'}
P06169,,,,,1.0,{'1': '2-561'},3.0,"{'1': '403-512', '2': '201-324', '3': '5-108'}",3.0,"{'1': '184-339', '2': '4-183', '3': '362-553'}",1.0,{'1': '427-446'},,,,
P06182,,,,,1.0,{'1': '20-257'},1.0,{'1': '1-253'},,,2.0,"{'1': '128-143', '2': '189-195'}",,,,
P06197,,,1.0,{'1': '8-185'},,,1.0,{'1': '17-127'},,,1.0,{'1': '59-81'},,,,
P06208,,,2.0,"{'1': '40-410', '2': '411-593'}",,,3.0,"{'1': '61-342', '2': '456-594', '3': '359-426'}",1.0,{'1': '480-594'},3.0,"{'1': '61-336', '2': '68-84', '3': '272-285'}",1.0,{'1': '456-595'},1.0,{'1': '35-596'}
P06242,,,,,1.0,{'1': '6-292'},1.0,{'1': '7-290'},1.0,{'1': '6-297'},3.0,"{'1': '7-290', '2': '125-137', '3': '13-36'}",1.0,{'1': '7-290'},,
P06243,,,,,,,2.0,"{'1': '33-192', '2': '274-380'}",1.0,{'1': '13-475'},2.0,"{'1': '33-469', '2': '159-171'}",1.0,{'1': '33-469'},,
P06244,,,,,,,1.0,{'1': '87-341'},1.0,{'1': '60-366'},4.0,"{'1': '87-341', '2': '342-397', '3': '206-218', '4': '93-116'}",2.0,"{'1': '87-341', '2': '342-397'}",,
P06245,,,,,,,1.0,{'1': '70-324'},1.0,{'1': '46-353'},4.0,"{'1': '70-324', '2': '325-380', '3': '189-201', '4': '76-99'}",2.0,"{'1': '70-324', '2': '325-380'}",,
P06367,,,1.0,{'1': '2-137'},1.0,{'1': '6-133'},1.0,{'1': '15-133'},,,1.0,{'1': '102-124'},,,,
P06634,,,2.0,"{'1': '110-363', '2': '364-535'}",,,2.0,"{'1': '386-494', '2': '166-349'}",1.0,{'1': '227-509'},4.0,"{'1': '304-312', '2': '373-533', '3': '173-362', '4': '142-170'}",2.0,"{'1': '413-494', '2': '161-377'}",,
P06700,,,1.0,{'1': '268-450'},1.0,{'1': '242-532'},2.0,"{'1': '262-478', '2': '105-261'}",1.0,{'1': '240-540'},1.0,{'1': '237-527'},,,,
P06701,,,2.0,"{'1': '528-724', '2': '1-229'}",1.0,{'1': '334-911'},3.0,"{'1': '50-187', '2': '737-833', '3': '851-972'}",,,1.0,{'1': '48-188'},1.0,{'1': '48-188'},,
P06704,,,,,1.0,{'1': '16-157'},2.0,"{'1': '23-85', '2': '96-158'}",1.0,{'1': '17-159'},5.0,"{'1': '20-55', '2': '93-128', '3': '129-161', '4': '33-45', '5': '142-154'}",4.0,"{'1': '24-52', '2': '60-88', '3': '97-125', '4': '133-161'}",,
P06738,,,,,1.0,{'1': '37-901'},1.0,{'1': '166-898'},,,1.0,{'1': '743-755'},,,1.0,{'1': '64-898'}
P06773,,,,,1.0,{'1': '60-302'},1.0,{'1': '162-278'},1.0,{'1': '164-302'},2.0,"{'1': '162-291', '2': '233-267'}",,,,
P06775,,,,,1.0,{'1': '69-603'},1.0,{'1': '94-559'},,,1.0,{'1': '119-150'},,,1.0,{'1': '88-567'}
P06776,3.0,"{'1': '260-273', '2': '302-317', '3': '329-345'}",1.0,{'1': '196-524'},,,1.0,{'1': '264-511'},,,2.0,"{'1': '182-526', '2': '302-313'}",1.0,{'1': '262-414'},,
P06777,,,,,,,1.0,{'1': '824-967'},2.0,"{'1': '1004-1073', '2': '821-969'}",,,1.0,{'1': '821-901'},1.0,{'1': '203-1066'}
P06778,,,1.0,{'1': '16-161'},1.0,{'1': '15-445'},1.0,{'1': '19-165'},,,,,,,1.0,{'1': '20-179'}
P06779,,,3.0,"{'1': '144-372', '2': '373-476', '3': '477-554'}",,,,,,,,,4.0,"{'1': '233-258', '2': '259-284', '3': '312-337', '4': '505-530'}",,
P06780,,,1.0,{'1': '3-209'},1.0,{'1': '10-207'},1.0,{'1': '12-182'},1.0,{'1': '11-182'},1.0,{'1': '2-209'},1.0,{'1': '13-186'},1.0,{'1': '10-163'}
P06782,,,,,,,3.0,"{'1': '55-306', '2': '344-389', '3': '504-626'}",2.0,"{'1': '52-307', '2': '460-629'}",3.0,"{'1': '55-306', '2': '173-185', '3': '61-84'}",1.0,{'1': '55-306'},,
P06785,5.0,"{'1': '53-74', '2': '146-165', '3': '172-187', '4': '199-225', '5': '237-254'}",1.0,{'1': '1-304'},1.0,{'1': '3-304'},1.0,{'1': '11-304'},1.0,{'1': '3-304'},1.0,{'1': '157-185'},,,1.0,{'1': '11-304'}
P06786,11.0,"{'1': '428-438', '2': '443-450', '3': '491-504', '4': '534-549', '5': '555-566', '6': '605-617', '7': '718-741', '8': '765-787', '9': '795-815', '10': '900-914', '11': '982-1008'}",5.0,"{'1': '989-1177', '2': '692-987', '3': '429-691', '4': '279-406', '5': '15-258'}",1.0,{'1': '7-1403'},5.0,"{'1': '690-1160', '2': '60-167', '3': '445-543', '4': '247-374', '5': '559-688'}",3.0,"{'1': '419-1171', '2': '235-405', '3': '9-243'}",3.0,"{'1': '692-1159', '2': '443-557', '3': '447-455'}",3.0,"{'1': '59-659', '2': '670-1157', '3': '55-205'}",,
P06787,,,,,1.0,{'1': '3-143'},2.0,"{'1': '12-74', '2': '83-145'}",1.0,{'1': '2-146'},6.0,"{'1': '8-43', '2': '44-79', '3': '81-116', '4': '21-33', '5': '57-69', '6': '94-106'}",3.0,"{'1': '12-40', '2': '48-76', '3': '85-113'}",,
P06838,,,,,1.0,{'1': '39-207'},1.0,{'1': '92-208'},1.0,{'1': '92-209'},,,,,1.0,{'1': '91-206'}
P06839,9.0,"{'1': '8-25', '2': '274-293', '3': '310-328', '4': '335-356', '5': '374-396', '6': '405-423', '7': '494-511', '8': '638-660', '9': '707-727'}",3.0,"{'1': '29-249', '2': '502-697', '3': '110-194'}",1.0,{'1': '5-721'},3.0,"{'1': '526-699', '2': '71-257', '3': '271-415'}",2.0,"{'1': '13-242', '2': '36-681'}",2.0,"{'1': '230-239', '2': '7-285'}",2.0,"{'1': '8-281', '2': '544-688'}",1.0,{'1': '8-716'}
P06843,,,,,,,1.0,{'1': '219-330'},,,,,1.0,{'1': '207-331'},,
P06844,,,1.0,{'1': '7-49'},1.0,{'1': '4-254'},1.0,{'1': '5-96'},1.0,{'1': '7-48'},,,,,,
P07143,8.0,"{'1': '74-93', '2': '94-113', '3': '139-159', '4': '172-196', '5': '211-222', '6': '222-241', '7': '242-261', '8': '261-276'}",1.0,{'1': '65-261'},1.0,{'1': '16-303'},1.0,{'1': '76-293'},2.0,"{'1': '261-306', '2': '63-260'}",1.0,{'1': '88-241'},,,,
P07149,12.0,"{'1': '581-601', '2': '607-625', '3': '706-724', '4': '726-745', '5': '913-931', '6': '1012-1036', '7': '1547-1569', '8': '1569-1590', '9': '1654-1673', '10': '1675-1698', '11': '1796-1815', '12': '1832-1853'}",5.0,"{'1': '142-363', '2': '421-557', '3': '1664-1714', '4': '558-846', '5': '1052-1101'}",1.0,{'1': '94-2048'},7.0,"{'1': '1524-1647', '2': '727-1074', '3': '1663-2037', '4': '159-411', '5': '1285-1405', '6': '1134-1272', '7': '5-131'}",4.0,"{'1': '156-527', '2': '1663-2020', '3': '1290-1414', '4': '1537-1657'}",,,1.0,{'1': '1665-2018'},,
P07170,5.0,"{'1': '10-23', '2': '38-52', '3': '88-104', '4': '167-182', '5': '184-198'}",1.0,{'1': '1-221'},1.0,{'1': '5-216'},1.0,{'1': '134-169'},1.0,{'1': '10-217'},1.0,{'1': '88-99'},,,1.0,{'1': '8-218'}
P07213,,,2.0,"{'1': '94-220', '2': '221-607'}",,,2.0,"{'1': '99-131', '2': '398-430'}",2.0,"{'1': '97-363', '2': '365-572'}",3.0,"{'1': '99-132', '2': '363-396', '3': '397-430'}",8.0,"{'1': '99-132', '2': '133-165', '3': '166-198', '4': '363-396', '5': '397-430', '6': '431-464', '7': '465-498', '8': '542-575'}",1.0,{'1': '1-614'}
P07236,5.0,"{'1': '128-156', '2': '161-184', '3': '272-300', '4': '315-328', '5': '342-354'}",2.0,"{'1': '339-462', '2': '33-338'}",,,2.0,"{'1': '114-337', '2': '349-456'}",1.0,{'1': '44-334'},1.0,{'1': '67-342'},,,1.0,{'1': '44-453'}
P07244,,,4.0,"{'1': '126-197', '2': '618-801', '3': '451-617', '4': '345-450'}",1.0,{'1': '90-797'},5.0,"{'1': '625-789', '2': '500-611', '3': '346-438', '4': '108-308', '5': '3-107'}",4.0,"{'1': '344-440', '2': '2-107', '3': '622-788', '4': '450-614'}",2.0,"{'1': '114-330', '2': '302-309'}",1.0,{'1': '345-440'},2.0,"{'1': '2-440', '2': '450-785'}"
P07245,7.0,"{'1': '35-57', '2': '76-103', '3': '111-132', '4': '158-178', '5': '207-236', '6': '256-272', '7': '273-291'}",2.0,"{'1': '321-491', '2': '508-831'}",,,3.0,"{'1': '322-946', '2': '6-122', '3': '126-299'}",3.0,"{'1': '323-944', '2': '124-299', '3': '1-123'}",4.0,"{'1': '423-433', '2': '710-721', '3': '77-102', '4': '277-285'}",,,,
P07246,,,,,,,2.0,"{'1': '209-337', '2': '57-168'}",2.0,"{'1': '32-203', '2': '171-342'}",1.0,{'1': '93-107'},1.0,{'1': '44-371'},,
P07248,,,,,1.0,{'1': '1-1318'},2.0,"{'1': '104-126', '2': '132-155'}",1.0,{'1': '102-150'},4.0,"{'1': '106-126', '2': '134-155', '3': '104-131', '4': '132-160'}",2.0,"{'1': '104-126', '2': '132-155'}",,
P07249,3.0,"{'1': '80-100', '2': '100-115', '3': '115-136'}",1.0,{'1': '90-162'},1.0,{'1': '80-140'},1.0,{'1': '87-134'},1.0,{'1': '79-158'},2.0,"{'1': '80-134', '2': '78-138'}",1.0,{'1': '78-137'},,
P07250,,,1.0,{'1': '25-355'},1.0,{'1': '5-353'},1.0,{'1': '114-352'},,,,,,,,
P07251,,,3.0,"{'1': '36-130', '2': '131-416', '3': '417-545'}",1.0,{'1': '40-545'},3.0,"{'1': '186-409', '2': '416-541', '3': '64-129'}",2.0,"{'1': '133-415', '2': '47-131'}",1.0,{'1': '400-409'},,,1.0,{'1': '41-545'}
P07253,,,,,1.0,{'1': '1-162'},,,,,,,,,,
P07255,,,,,,,,,,,,,,,,
P07256,,,,,1.0,{'1': '21-440'},2.0,"{'1': '190-370', '2': '37-181'}",2.0,"{'1': '28-237', '2': '242-447'}",,,,,,
P07257,,,,,1.0,{'1': '18-232'},1.0,{'1': '18-162'},2.0,"{'1': '17-213', '2': '221-368'}",1.0,{'1': '37-59'},,,,
P07258,,,2.0,"{'1': '160-375', '2': '5-159'}",,,2.0,"{'1': '12-145', '2': '188-368'}",2.0,"{'1': '155-372', '2': '7-157'}",,,1.0,{'1': '6-146'},1.0,{'1': '8-372'}
P07259,11.0,"{'1': '450-464', '2': '479-489', '3': '597-609', '4': '631-650', '5': '666-683', '6': '723-752', '7': '805-823', '8': '1956-1975', '9': '2039-2050', '10': '2165-2174', '11': '2175-2198'}",7.0,"{'1': '1107-1176', '2': '191-412', '3': '20-178', '4': '829-973', '5': '1912-2207', '6': '2039-2197', '7': '1358-1503'}",,,10.0,"{'1': '24-160', '2': '557-760', '3': '1095-1294', '4': '846-926', '5': '2058-2208', '6': '1911-2052', '7': '1375-1473', '8': '231-405', '9': '438-552', '10': '979-1090'}",8.0,"{'1': '436-559', '2': '977-1095', '3': '222-411', '4': '1509-1779', '5': '23-170', '6': '821-975', '7': '1907-2211', '8': '1360-1504'}",8.0,"{'1': '593-607', '2': '1130-1144', '3': '723-730', '4': '1259-1266', '5': '1956-1963', '6': '1356-1508', '7': '562-754', '8': '1099-1290'}",3.0,"{'1': '18-162', '2': '843-968', '3': '1375-1473'}",3.0,"{'1': '1911-2210', '2': '23-408', '3': '437-1485'}"
P07260,,,1.0,{'1': '1-213'},1.0,{'1': '24-201'},1.0,{'1': '38-195'},1.0,{'1': '5-208'},1.0,{'1': '92-115'},,,,
P07261,,,,,1.0,{'1': '10-755'},1.0,{'1': '638-704'},,,,,,,,
P07262,4.0,"{'1': '96-110', '2': '175-197', '3': '220-240', '4': '373-384'}",,,1.0,{'1': '2-453'},2.0,"{'1': '184-451', '2': '39-166'}",2.0,"{'1': '184-451', '2': '2-186'}",1.0,{'1': '104-117'},1.0,{'1': '186-451'},,
P07263,,,2.0,"{'1': '422-531', '2': '43-420'}",,,2.0,"{'1': '427-526', '2': '61-341'}",1.0,{'1': '56-412'},1.0,{'1': '60-444'},,,1.0,{'1': '56-504'}
P07264,9.0,"{'1': '95-108', '2': '121-129', '3': '132-145', '4': '146-161', '5': '208-221', '6': '222-235', '7': '299-313', '8': '356-367', '9': '413-426'}",3.0,"{'1': '531-724', '2': '11-299', '3': '338-508'}",1.0,{'1': '5-480'},2.0,"{'1': '545-671', '2': '14-471'}",1.0,{'1': '8-491'},2.0,"{'1': '352-368', '2': '413-426'}",,,2.0,"{'1': '9-479', '2': '545-736'}"
P07267,4.0,"{'1': '97-117', '2': '243-256', '3': '291-302', '4': '378-393'}",2.0,"{'1': '38-249', '2': '251-404'}",1.0,{'1': '75-403'},1.0,{'1': '90-404'},1.0,{'1': '8-404'},3.0,"{'1': '106-117', '2': '291-302', '3': '91-402'}",,,,
P07269,,,,,1.0,{'1': '26-558'},1.0,{'1': '78-134'},1.0,{'1': '61-136'},2.0,"{'1': '75-135', '2': '110-133'}",1.0,{'1': '77-139'},,
P07270,,,1.0,{'1': '251-312'},,,1.0,{'1': '251-307'},1.0,{'1': '251-310'},1.0,{'1': '250-306'},1.0,{'1': '256-312'},,
P07271,,,1.0,{'1': '196-431'},1.0,{'1': '184-547'},2.0,"{'1': '236-441', '2': '498-542'}",2.0,"{'1': '61-442', '2': '366-761'}",,,,,,
P07273,,,2.0,"{'1': '1-77', '2': '127-238'}",,,3.0,"{'1': '269-307', '2': '146-256', '3': '25-76'}",2.0,"{'1': '1-76', '2': '129-238'}",4.0,"{'1': '271-306', '2': '267-307', '3': '148-264', '4': '5-79'}",3.0,"{'1': '269-308', '2': '6-78', '3': '146-247'}",1.0,{'1': '3-309'}
P07274,10.0,"{'1': '3-12', '2': '36-56', '3': '60-74', '4': '95-108', '5': '108-125', '6': '1-9', '7': '48-62', '8': '67-76', '9': '79-94', '10': '112-125'}",,,1.0,{'1': '1-122'},1.0,{'1': '1-126'},1.0,{'1': '2-126'},1.0,{'1': '1-8'},1.0,{'1': '1-126'},,
P07275,,,2.0,"{'1': '31-560', '2': '319-525'}",1.0,{'1': '26-573'},1.0,{'1': '74-556'},1.0,{'1': '40-559'},2.0,"{'1': '344-355', '2': '316-323'}",,,1.0,{'1': '29-573'}
P07278,,,2.0,"{'1': '157-283', '2': '284-416'}",1.0,{'1': '21-409'},3.0,"{'1': '203-282', '2': '322-401', '3': '8-45'}",2.0,"{'1': '165-284', '2': '292-403'}",6.0,"{'1': '184-299', '2': '302-409', '3': '211-227', '4': '329-345', '5': '247-264', '6': '366-383'}",3.0,"{'1': '184-300', '2': '302-416', '3': '7-45'}",,
P07280,,,1.0,{'1': '1-143'},1.0,{'1': '4-141'},1.0,{'1': '5-141'},1.0,{'1': '4-142'},1.0,{'1': '90-109'},1.0,{'1': '5-142'},,
P07281,,,1.0,{'1': '1-143'},1.0,{'1': '5-141'},1.0,{'1': '5-141'},1.0,{'1': '4-142'},1.0,{'1': '90-109'},1.0,{'1': '5-142'},,
P07283,,,2.0,"{'1': '15-248', '2': '93-194'}",1.0,{'1': '10-252'},1.0,{'1': '36-253'},1.0,{'1': '15-252'},,,,,1.0,{'1': '15-231'}
P07284,5.0,"{'1': '281-293', '2': '293-306', '3': '333-346', '4': '350-366', '5': '368-384'}",2.0,"{'1': '1-109', '2': '110-452'}",1.0,{'1': '1-448'},2.0,"{'1': '232-419', '2': '1-112'}",2.0,"{'1': '1-116', '2': '151-435'}",1.0,{'1': '197-428'},,,1.0,{'1': '1-435'}
P07285,,,1.0,{'1': '103-380'},1.0,{'1': '8-376'},1.0,{'1': '103-367'},1.0,{'1': '102-376'},,,,,1.0,{'1': '52-374'}
P07342,,,,,1.0,{'1': '92-663'},3.0,"{'1': '496-643', '2': '289-431', '3': '93-208'}",3.0,"{'1': '284-459', '2': '92-264', '3': '464-675'}",1.0,{'1': '533-552'},,,1.0,{'1': '92-667'}
P07347,,,,,1.0,{'1': '3-217'},1.0,{'1': '88-167'},1.0,{'1': '1-194'},1.0,{'1': '35-195'},,,,
P07560,,,1.0,{'1': '14-215'},1.0,{'1': '14-203'},1.0,{'1': '22-181'},1.0,{'1': '16-186'},1.0,{'1': '14-215'},1.0,{'1': '23-183'},1.0,{'1': '19-173'}
P07703,,,2.0,"{'1': '42-324', '2': '77-217'}",1.0,{'1': '5-328'},2.0,"{'1': '89-218', '2': '53-324'}",2.0,"{'1': '38-331', '2': '76-221'}",1.0,{'1': '65-105'},1.0,{'1': '51-331'},,
P07806,5.0,"{'1': '183-194', '2': '394-411', '3': '511-524', '4': '624-645', '5': '655-673'}",4.0,"{'1': '359-406', '2': '145-350', '3': '476-704', '4': '1028-1099'}",1.0,{'1': '121-1099'},2.0,"{'1': '157-780', '2': '825-972'}",3.0,"{'1': '355-506', '2': '791-1049', '3': '1035-1099'}",1.0,{'1': '190-201'},,,1.0,{'1': '145-1082'}
P07807,,,1.0,{'1': '4-211'},1.0,{'1': '11-211'},1.0,{'1': '11-163'},1.0,{'1': '5-210'},2.0,"{'1': '7-210', '2': '20-42'}",,,,
P07834,3.0,"{'1': '436-450', '2': '543-557', '3': '585-599'}",1.0,{'1': '370-744'},,,8.0,"{'1': '374-408', '2': '413-449', '3': '453-492', '4': '523-556', '5': '561-598', '6': '626-658', '7': '275-321', '8': '227-272'}",2.0,"{'1': '270-368', '2': '373-734'}",9.0,"{'1': '418-458', '2': '459-502', '3': '526-565', '4': '566-601', '5': '628-667', '6': '272-319', '7': '436-450', '8': '543-557', '9': '585-599'}",8.0,"{'1': '370-408', '2': '411-449', '3': '452-493', '4': '519-556', '5': '559-598', '6': '621-658', '7': '661-698', '8': '278-318'}",,
P07866,,,1.0,{'1': '1172-1435'},1.0,{'1': '525-1417'},2.0,"{'1': '29-133', '2': '1198-1387'}",1.0,{'1': '8-1434'},3.0,"{'1': '25-157', '2': '1194-1434', '3': '1356-1386'}",2.0,"{'1': '24-157', '2': '1190-1435'}",,
P07884,,,1.0,{'1': '16-339'},1.0,{'1': '14-338'},,,1.0,{'1': '16-160'},,,,,1.0,{'1': '16-319'}
P07991,,,2.0,"{'1': '62-324', '2': '15-412'}",1.0,{'1': '5-421'},1.0,{'1': '18-421'},1.0,{'1': '16-422'},1.0,{'1': '238-277'},,,1.0,{'1': '8-422'}
P08004,,,,,1.0,{'1': '275-1122'},1.0,{'1': '374-447'},1.0,{'1': '575-825'},,,,,,
P08018,,,,,,,1.0,{'1': '362-623'},1.0,{'1': '351-634'},2.0,"{'1': '360-623', '2': '481-493'}",1.0,{'1': '360-623'},,
P08067,3.0,"{'1': '154-165', '2': '176-188', '3': '188-200'}",2.0,"{'1': '86-215', '2': '31-85'}",1.0,{'1': '32-215'},2.0,"{'1': '32-87', '2': '147-199'}",1.0,{'1': '78-214'},1.0,{'1': '123-214'},,,1.0,{'1': '58-214'}
P08417,4.0,"{'1': '159-177', '2': '205-223', '3': '296-323', '4': '342-358'}",1.0,{'1': '29-163'},1.0,{'1': '20-488'},2.0,"{'1': '433-485', '2': '36-367'}",1.0,{'1': '28-485'},1.0,{'1': '342-351'},,,1.0,{'1': '28-486'}
P08425,,,2.0,"{'1': '369-469', '2': '21-368'}",,,3.0,"{'1': '49-176', '2': '257-360', '3': '372-469'}",2.0,"{'1': '368-469', '2': '52-360'}",2.0,"{'1': '372-469', '2': '151-370'}",1.0,{'1': '372-469'},1.0,{'1': '18-468'}
P08466,,,1.0,{'1': '41-310'},1.0,{'1': '54-300'},1.0,{'1': '56-288'},1.0,{'1': '57-308'},1.0,{'1': '135-143'},2.0,"{'1': '73-290', '2': '74-290'}",,
P08518,,,3.0,"{'1': '783-973', '2': '753-1110', '3': '226-397'}",1.0,{'1': '23-1216'},7.0,"{'1': '753-1124', '2': '1126-1218', '3': '220-407', '4': '42-455', '5': '481-543', '6': '580-641', '7': '681-745'}",,,1.0,{'1': '977-989'},,,,
P08524,,,1.0,{'1': '1-351'},1.0,{'1': '7-352'},1.0,{'1': '38-304'},1.0,{'1': '9-351'},2.0,"{'1': '232-244', '2': '97-111'}",,,,
P08525,,,1.0,{'1': '2-94'},1.0,{'1': '7-89'},1.0,{'1': '12-88'},1.0,{'1': '3-93'},,,,,,
P08536,,,2.0,"{'1': '175-392', '2': '393-511'}",1.0,{'1': '1-441'},2.0,"{'1': '172-386', '2': '3-162'}",2.0,"{'1': '3-168', '2': '390-510'}",,,,,1.0,{'1': '4-386'}
P08539,10.0,"{'1': '43-58', '2': '286-308', '3': '315-332', '4': '337-365', '5': '383-392', '6': '67-79', '7': '304-314', '8': '394-406', '9': '422-433', '10': '448-458'}",4.0,"{'1': '70-112', '2': '216-299', '3': '43-69', '4': '300-459'}",1.0,{'1': '12-469'},1.0,{'1': '21-461'},2.0,"{'1': '69-298', '2': '38-469'}",1.0,{'1': '40-472'},1.0,{'1': '21-471'},,
P08566,,,4.0,"{'1': '1067-1307', '2': '877-1063', '3': '419-862', '4': '425-652'}",,,8.0,"{'1': '1078-1298', '2': '411-865', '3': '1430-1505', '4': '1311-1393', '5': '72-184', '6': '897-1062', '7': '1556-1581', '8': '186-365'}",4.0,"{'1': '417-867', '2': '886-1033', '3': '1407-1586', '4': '1299-1406'}",4.0,"{'1': '1171-1199', '2': '945-973', '3': '494-508', '4': '763-781'}",,,4.0,"{'1': '1077-1298', '2': '420-867', '3': '1302-1585', '4': '14-397'}"
P08678,,,6.0,"{'1': '1657-1887', '2': '775-923', '3': '924-1034', '4': '1035-1153', '5': '1159-1308', '6': '1343-1626'}",1.0,{'1': '1000-1339'},9.0,"{'1': '1663-1840', '2': '865-921', '3': '933-989', '4': '1211-1269', '5': '1374-1617', '6': '368-418', '7': '1892-1989', '8': '680-773', '9': '1045-1163'}",2.0,"{'1': '1658-1881', '2': '1338-1624'}",10.0,"{'1': '676-755', '2': '1668-1805', '3': '887-909', '4': '933-954', '5': '956-977', '6': '978-999', '7': '1111-1133', '8': '1190-1210', '9': '1211-1232', '10': '1357-1624'}",15.0,"{'1': '676-756', '2': '1611-1833', '3': '1347-1622', '4': '885-907', '5': '908-931', '6': '932-954', '7': '976-999', '8': '1016-1039', '9': '1040-1062', '10': '1063-1085', '11': '1086-1108', '12': '1109-1132', '13': '1209-1232', '14': '1233-1256', '15': '367-420'}",,
P08679,6.0,"{'1': '198-211', '2': '246-261', '3': '269-297', '4': '329-349', '5': '390-406', '6': '411-425'}",2.0,"{'1': '32-442', '2': '296-410'}",1.0,{'1': '19-451'},1.0,{'1': '64-442'},1.0,{'1': '25-454'},1.0,{'1': '336-348'},,,1.0,{'1': '24-449'}
P08964,5.0,"{'1': '105-124', '2': '173-198', '3': '229-256', '4': '459-487', '5': '513-541'}",1.0,{'1': '73-716'},,,1.0,{'1': '77-779'},1.0,{'1': '57-847'},2.0,"{'1': '75-791', '2': '8-71'}",1.0,{'1': '69-792'},,
P09032,,,1.0,{'1': '55-304'},1.0,{'1': '2-521'},1.0,{'1': '428-487'},2.0,"{'1': '394-512', '2': '61-495'}",,,,,,
P09064,,,,,1.0,{'1': '133-282'},1.0,{'1': '155-264'},2.0,"{'1': '129-236', '2': '233-270'}",,,1.0,{'1': '155-265'},,
P09232,3.0,"{'1': '316-335', '2': '353-366', '3': '516-532'}",2.0,"{'1': '282-587', '2': '181-279'}",1.0,{'1': '168-586'},2.0,"{'1': '317-564', '2': '182-279'}",1.0,{'1': '280-581'},3.0,"{'1': '357-367', '2': '321-332', '3': '517-527'}",,,,
P09435,,,2.0,"{'1': '383-536', '2': '537-649'}",1.0,{'1': '4-573'},1.0,{'1': '4-609'},4.0,"{'1': '385-541', '2': '535-616', '3': '1-185', '4': '190-380'}",3.0,"{'1': '7-14', '2': '195-208', '3': '332-346'}",,,,
P09436,5.0,"{'1': '40-51', '2': '220-243', '3': '396-411', '4': '521-534', '5': '561-570'}",2.0,"{'1': '2-228', '2': '374-640'}",1.0,{'1': '4-1059'},2.0,"{'1': '17-640', '2': '693-851'}",2.0,"{'1': '198-398', '2': '657-914'}",1.0,{'1': '47-58'},,,1.0,{'1': '5-865'}
P09440,7.0,"{'1': '67-89', '2': '108-135', '3': '143-164', '4': '190-210', '5': '239-268', '6': '280-296', '7': '297-315'}",2.0,"{'1': '345-506', '2': '644-845'}",,,3.0,"{'1': '346-975', '2': '38-154', '3': '157-323'}",3.0,"{'1': '347-973', '2': '156-323', '3': '35-155'}",4.0,"{'1': '447-457', '2': '739-750', '3': '109-134', '4': '301-309'}",,,,
